Domain name,Domain type,Agency,Organization name,City,State,Security contact email
36thdistrictcourtmi.gov,City,Non-Federal Agency,36th District Court,Detroit,MI,govdnssecurity@36thdistrictcourt.org
59dcmi.gov,City,Non-Federal Agency,59th District Court,Walker,MI,soc@walker.city
aberdeenmd.gov,City,Non-Federal Agency,City of Aberdeen,Aberdeen,MD,(blank)
aberdeenwa.gov,City,Non-Federal Agency,City of Aberdeen,Aberdeen,WA,rlampky@aberdeenwa.gov
abingdon-va.gov,City,Non-Federal Agency,Town of Abingdon,Abingdon,VA,itdept@abingdon-va.gov
abingtonma.gov,City,Non-Federal Agency,Town of Abington,Abington,MA,wnorling@abingtonma.gov
abingtonpa.gov,City,Non-Federal Agency,Abington Township,Abington,PA,nvasserman@AbingtonPA.gov
abitaspringsla.gov,City,Non-Federal Agency,Town Of Abita Springs,Abita Springs,LA,support@abitaspringsla.gov
abseconnj.gov,City,Non-Federal Agency,City of Absecon,Absecon,NJ,support@macregsolutions.com
accessprincetonnj.gov,City,Non-Federal Agency,Princeton,Princeton,NJ,pdepasquale@princetonnj.gov
acnj.gov,City,Non-Federal Agency,City of Atlantic City,Atlantic City,NJ,pquinlan@cityofatlanticcity.org
acnjpolice.gov,City,Non-Federal Agency,City of Atlantic City,Atlantic City,NJ,pquinlan@cityofatlanticcity.org
acton-ma.gov,City,Non-Federal Agency,"Town of Acton, Massachusetts",Acton,MA,mhald@actonma.gov
actonma.gov,City,Non-Federal Agency,"Town of Acton, Massachusetts",Acton,MA,mhald@actonma.gov
acworth-ga.gov,City,Non-Federal Agency,City of Acworth,Acworth,GA,it@acworth.org
adak-ak.gov,City,Non-Federal Agency,City of Adak,Adak,AK,adak@adak-ak.gov
adamn.gov,City,Non-Federal Agency,City Of Ada,Ada,MN,dmarcussen@adamn.gov
addisontx.gov,City,Non-Federal Agency,Town Of Addison,Dallas,TX,(blank)
addisonwi.gov,City,Non-Federal Agency,Town of Addison,Allenton,WI,clerk@addisonwi.org
adelantoca.gov,City,Non-Federal Agency,City of Adelanto,Adelanto,CA,cvergara@adelantoca.gov
adrianmi.gov,City,Non-Federal Agency,City of Adrian,Adrian,MI,(blank)
adriantwpmi.gov,City,Non-Federal Agency,Adrian Charter Township,Adrian,MI,bmeloche@adrtiantownship.com
aftonwyoming.gov,City,Non-Federal Agency,TOWN OF AFTON,AFTON,WY,vsanderson@aftonwyoming.gov
ahoskienc.gov,City,Non-Federal Agency,Town of Ahoskie,Ahoskie,NC,ebarnes@cocentral.com
akronohiorescue.gov,City,Non-Federal Agency,"City of Akron, Ohio",Akron,OH,infrastructure@akronohio.gov
alamedaca.gov,City,Non-Federal Agency,City of Alameda,Alameda,CA,dcagampan@alamedaca.gov
alamoheightstx.gov,City,Non-Federal Agency,City of Alamo Heights,Alamo Heights,TX,jreyna@alamoheightstx.gov
alamotownshipmi.gov,City,Non-Federal Agency,Alamo Township,Kalamazoo,MI,kps@shumakergroup.com
albanyca.gov,City,Non-Federal Agency,Citiy of Albany,Albany,CA,security@albanyca.org
albanyga.gov,City,Non-Federal Agency,City of Albany,Albany,GA,jdemott@albanyga.gov
albanyny.gov,City,Non-Federal Agency,City of Albany,Albany,NY,networkadministrator@albanyny.gov
albanyoregon.gov,City,Non-Federal Agency,"City of Albany, Oregon",Albany,OR,domain-security@albanyoregon.gov
albemarlenc.gov,City,Non-Federal Agency,City of Albemarle,Albemarle,NC,itdept@ci.albemarle.nc.us
alberttwpmi.gov,City,Non-Federal Agency,Township of Albert,Lewiston,MI,sales@beardedbinyl.com
albertvillemn.gov,City,Non-Federal Agency,City of Albertville,Albertville,MN,tlannes@ci.albertville.mn.us
albuquerque-nm.gov,City,Non-Federal Agency,City of Albuquerque ,Albuquerque,NM,(blank)
aldanpa.gov,City,Non-Federal Agency,Aldan Borough,Aldan,PA,domains@craftech.com
aledoil.gov,City,Non-Federal Agency,City of Aledo,Aledo,IL,cityclerk@aledoil.org
aledotx.gov,City,Non-Federal Agency,City of Aledo,Aledo,TX,todd@covingtonservices.us
aleknagikak.gov,City,Non-Federal Agency,City of Aleknagik,Aleknagik,AK,tech@aleknagikak.gov
alexandercityal.gov,City,Non-Federal Agency,City of Alexander City,Alexander City,AL,support@alexandercityal.gov
alexandrianh.gov,City,Non-Federal Agency,Town of Alexandria,Alexandria,NH,klavelle@ccsnh.com
alexandrianj.gov,City,Non-Federal Agency,Alexandria Township,Milford,NJ,(blank)
alexandriava.gov,City,Non-Federal Agency,City of Alexandria,Alexandria,VA,security@alexandriava.gov
alfredme.gov,City,Non-Federal Agency,Town of Alfred,Alfred,ME,(blank)
algonaiowa.gov,City,Non-Federal Agency,City of Algona,Algona,IA,securitysupport@accesssystems.com
algonawa.gov,City,Non-Federal Agency,City Of Algona,Algona,WA,(blank)
algoodtn.gov,City,Non-Federal Agency,City Of Algood,Algood,TN,(blank)
aliquippapa.gov,City,Non-Federal Agency,City of Aliquippa,Aliquippa,PA,(blank)
allendalenj.gov,City,Non-Federal Agency,Borough of Allendale,Allendale,NJ,jim@cobancomputers.com
allenstownnh.gov,City,Non-Federal Agency,Town of Allenstown,Allenstown,NH,TA@allenstownnh.gov
allentownpa.gov,City,Non-Federal Agency,City of Allentown,Allentown,PA,(blank)
allianceoh.gov,City,Non-Federal Agency,City of Alliance,Alliance,OH,(blank)
almaarkansas.gov,City,Non-Federal Agency,City of Alma,Alma,AR,administrator@cityofalma.org
almacenterwi.gov,City,Non-Federal Agency,Village of Alma Center,Alma Center,WI,almacenterwigov@computerguts.net
almenatownship.gov,City,Non-Federal Agency,Almena Township,Paw Paw,MI,markroman2005@comcast.net
almontmichigan.gov,City,Non-Federal Agency,Village of Almont,Almont,MI,(blank)
alpharettaga.gov,City,Non-Federal Agency,City of Alpharetta,Alpharetta,GA,domainregistration@alpharetta.ga.us
alpinewy.gov,City,Non-Federal Agency,Town of Alpine,Alpine,WY,alpine@silverstar.com
alsteadnh.gov,City,Non-Federal Agency,Town of Alstead,Alstead,NH,(blank)
altavistava.gov,City,Non-Federal Agency,Town of Altavista,Altavista,VA,tcshelton@altavistava.gov
alton-tx.gov,City,Non-Federal Agency,City of Alton,Alton,TX,(blank)
altoonapa.gov,City,Non-Federal Agency,City of Altoona,Altoona,PA,(blank)
altoona-wi.gov,City,Non-Federal Agency,City Of Altoona Emergency Services ,Altoona,WI,police@ci.altoona.wi.us
altusok.gov,City,Non-Federal Agency,City of Altus,Altus,OK,(blank)
alvin-tx.gov,City,Non-Federal Agency,"City of Alvin, Texas",Alvin,TX,InformationTechnology@cityofalvin.com
alvordtx.gov,City,Non-Federal Agency,City of Alvord,Alvord,TX,cody@saltlogix.com
amarillo.gov,City,Non-Federal Agency,City of Amarillo ,Amarillo,TX,jose.villarreal@amarillo.gov
ameniany.gov,City,Non-Federal Agency,Town of Amenia,Amenia,NY,(blank)
americancanyon.gov,City,Non-Federal Agency,City of American Canyon,American Canyon,CA,rlecomte@dni.net
americanfork.gov,City,Non-Federal Agency,American Fork City,American Fork,UT,george@americanfork.gov
americusga.gov,City,Non-Federal Agency,City of Americus,Americus,GA,(blank)
amerywi.gov,City,Non-Federal Agency,City of Amery,Amery,WI,(blank)
amesburyma.gov,City,Non-Federal Agency,Town of Amesbury,Amesbury,MA,it@amesburyma.gov
amherstma.gov,City,Non-Federal Agency,Town of Amherst,Amherst,MA,hannons@amherstma.gov
amherstnh.gov,City,Non-Federal Agency,Town of Amherst,Amherst,NH,jstover@amherstnh.gov
amherstva.gov,City,Non-Federal Agency,Town of Amherst,Amherst,VA,townhall@amherstva.gov
amityvillepdny.gov,City,Non-Federal Agency,Amityville Village Police Department,Amityville,NY,amityvillepd@amityvillepd.com
amsterdamny.gov,City,Non-Federal Agency,City of Amsterdam,Amsterdam,NY,(blank)
anchorageak.gov,City,Non-Federal Agency,Municipality of Anchorage,Anchorage,AK,ty.nesheim@anchorageak.gov
andalusiaal.gov,City,Non-Federal Agency,City of Andalusia,Andalusia,AL,itsecurity@cityofandlausia.com
andersontx.gov,City,Non-Federal Agency,Town of Anderson,aNDERSON,TX,townoffice@andersontx.gov
andoverma.gov,City,Non-Federal Agency,Town of Andover,Andover,MA,platform.team@andoverma.us
andovermn.gov,City,Non-Federal Agency,City of Andover,Andover,MN,webmaster@andovermn.gov
andover-nh.gov,City,Non-Federal Agency,TOWN OF ANDOVER,Andover,NH,(blank)
andrewsnc.gov,City,Non-Federal Agency,Town of Andrews,Andrews,NC,abuse@andrewsnc.gov
angelfirenm.gov,City,Non-Federal Agency,Village of Angel Fire,Angel Fire,NM,(blank)
angelscamp.gov,City,Non-Federal Agency,City of Angels ,City of Angels Camp,CA,swong@coneth.com
ankenyiowa.gov,City,Non-Federal Agency,City of Ankeny,Ankeny,IA,(blank)
annapolis.gov,City,Non-Federal Agency,City of Annapolis,Annapolis,MD,(blank)
annapolismd.gov,City,Non-Federal Agency,City of Annapolis,Annapolis,MD,(blank)
annatexas.gov,City,Non-Federal Agency,City of Anna,Anna,TX,(blank)
annettatx.gov,City,Non-Federal Agency,Town of Annetta,Aledo,TX,citysecretary@annettatx.gov
annistonal.gov,City,Non-Federal Agency,"City of Anniston, Alabama",Anniston,AL,mbushard@annistonal.gov
anokawineandspirits.gov,City,Non-Federal Agency,City of Anoka,Anoka,MN,admin@vpointusa.com
antiochcaboard.gov,City,Non-Federal Agency,City of Antioch,Antioch,CA,abarton@ci.antioch.ca.us
antiochcacommission.gov,City,Non-Federal Agency,City of Antioch,Antioch,CA,abarton@ci.antioch.ca.us
antiochcacommittee.gov,City,Non-Federal Agency,City of Antioch,Antioch,CA,abarton@ci.antioch.ca.us
antiochca.gov,City,Non-Federal Agency,City of Antioch,Antioch,CA,(blank)
antiochtownshipil.gov,City,Non-Federal Agency,Antioch Township,Lake Villa,IL,(blank)
antrimnh.gov,City,Non-Federal Agency,Town of Antrim,Antrim,NH,support@miradorit.com
apachejunctionaz.gov,City,Non-Federal Agency,City of Apache Junction,Apache Junction,AZ,dwirthgen@apachejunctionaz.gov
apexnc.gov,City,Non-Federal Agency,"APEX, TOWN OF",Apex,NC,erika.sacco@apexnc.org
apopka.gov,City,Non-Federal Agency,City of Apopka,Apopka,FL,it_all@apopka.net
appletonmn.gov,City,Non-Federal Agency,City of Appleton,Appleton,MN,noc@coordinated.com
appletonwi.gov,City,Non-Federal Agency,City of Appleton,Appleton,WI,justin.marsh@appleton.org
applevalleyca.gov,City,Non-Federal Agency,Town of Apple Valley,Apple Valley,CA,webmaster@applevalley.org
applevalleymn.gov,City,Non-Federal Agency,City of Apple Valley,Apple Valley,MN,nbang@ci.apple-valley.mn.us
applevalleyut.gov,City,Non-Federal Agency,Town of Apple Valley,Apple Valley,UT,clerk@applevalleyut.gov
appomattoxva.gov,City,Non-Federal Agency,Town of Appomattox,Appomattox,VA,(blank)
aptx.gov,City,Non-Federal Agency,City of Aransas Pass,Aransas Pass,TX,doffalter@aransaspasstx.gov
aquinnah-ma.gov,City,Non-Federal Agency,Town of Aquinnah,Aquinnah,MA,adminassistant@aquinnah-ma.gov
aragotownshipmn.gov,City,Non-Federal Agency,Arago Township,Park Rapids,MN,(blank)
aransaspasstx.gov,City,Non-Federal Agency,City of Aransas Pass,Aransas Pass,TX,jmartin@aptx.gov
arcadami.gov,City,Non-Federal Agency,Arcada Township,Ithaca,MI,kps@shumakergroup.com
arcadiaca.gov,City,Non-Federal Agency,City of Arcadia,Arcadia,CA,wluo@arcadiaca.gov
arcadia-fl.gov,City,Non-Federal Agency,City of Arcadia,Arcadia,FL,service@vc3.com
archbaldboroughpa.gov,City,Non-Federal Agency,Archbald Borough,Archbald,PA,(blank)
archdale-nc.gov,City,Non-Federal Agency,City of Archdale,Archdale,NC,_it@archdale-nc.gov
archerlodgenc.gov,City,Non-Federal Agency,Town of Archer Lodge,Archer Lodge,NC,(blank)
arcoidaho.gov,City,Non-Federal Agency,City of Arco,Arco,ID,help@totalcareit.info
arcolapdtx.gov,City,Non-Federal Agency,Arcola Police Department,Rosharon,TX,acarr@arcolatexas.org
arcolatexas.gov,City,Non-Federal Agency,City of Arcola,Arcola,TX,contractor1@arcolatexas.org
ardmoreok.gov,City,Non-Federal Agency,City of Ardmore,Ardmore,OK,abuse@ardmorecity.org
argentinetownship.gov,City,Non-Federal Agency,Argentine Township,Linden,MI,tech@tdaniels.com
argonnewi.gov,City,Non-Federal Agency,Town Of Argonne,argonne,WI,info@naunkca.com
arkadelphia.gov,City,Non-Federal Agency,City of Arkadelphia,Arkadelphia,AR,(blank)
arkansascityks.gov,City,Non-Federal Agency,City of Arkansas City,Arkansas City,KS,security@arkansascityks.gov
arkomaok.gov,City,Non-Federal Agency,Town of Arkoma,Arkoma,OK,abuse@omag.org
arlingtonma.gov,City,Non-Federal Agency,Town of Arlington,Arlington,MA,security@town.arlington.ma.us
arlingtonmn.gov,City,Non-Federal Agency,City of Arlington,Arlington,MN,police@arlingtonmn.com
arlingtonne.gov,City,Non-Federal Agency,Village of Arlington,Arlington,NE,clerk@arlingtonne.gov
arlington-tx.gov,City,Non-Federal Agency,"City of Arlington, Texas",Arlington,TX,itregistrar@arlingtontx.gov
arlingtontx.gov,City,Non-Federal Agency,"City of Arlington, Texas",Arlington,TX,itregistrar@arlingtontx.gov
arlingtonwa.gov,City,Non-Federal Agency,City of Arlington Washington,Arlington,WA,bterry@arlingtonwa.gov
arrowsmithil.gov,City,Non-Federal Agency,Village of Arrowsmith,Arrowsmith,IL,arrowsmith.village@gmail.com
artesianm.gov,City,Non-Federal Agency,City of Artesia,Artesia,NM,jiiams@artesianm.gov
arthur-il.gov,City,Non-Federal Agency,"Village of Arthur, IL",Arthur,IL,(blank)
arvadaco.gov,City,Non-Federal Agency,City of Arvada,Arvada,CO,it_security_events@arvada.org
ashburnham-ma.gov,City,Non-Federal Agency,Town of Ashburnham,Ashburnham,MA,(blank)
ashbyma.gov,City,Non-Federal Agency,Town of Ashby,Ashby,MA,tabos@ashbyma.gov
asheboronc.gov,City,Non-Federal Agency,City of Asheboro,Asheboro,NC,(blank)
ashevillenc.gov,City,Non-Federal Agency,City of Asheville,Asheville,NC,pscruggs@ashevillenc.gov
ashgrovemo.gov,City,Non-Federal Agency,City of Ash Grove,Ash Grove,MO,support@strongholddata.com
ashlandcitytn.gov,City,Non-Federal Agency,Town of Ashland City,Ashland City,TN,jgreer@ashlandcitytn.gov
ashlandky.gov,City,Non-Federal Agency,"The City of Ashland, KY",Ashland,KY,support@ashlandky.gov
ashlandva.gov,City,Non-Federal Agency,"Town of Ashland, VA",Ashland,VA,dougg@ashlandva.gov
ashtoncityid.gov,City,Non-Federal Agency,City of Ashton Idaho,Ashton,ID,david@funwinkstudios.com
ashtonid.gov,City,Non-Federal Agency,City of Ashton ID,Ashton,ID,david@funwinkstudios.com
ashvilleohio.gov,City,Non-Federal Agency,Village of Ashville,Ashville,OH,agrube@ashvilleohio.gov
ashwaubenon.gov,City,Non-Federal Agency,Village of Ashwaubenon,Ashwaubenon,WI,security@ashwaubenon.com
aspen.gov,City,Non-Federal Agency,City of Aspen,Aspen,CO,dnsadmins@aspen.gov
assyriatwpmi.gov,City,Non-Federal Agency,Assyria Township,Bellevue,MI,InfoAssyriaTwp@gmail.com
